,State,Year,Heart disease,Cancer,Stroke,CLRD,Unintentional injuries,Alzheimer's disease,Diabetes_x,Influenza and pneumonia,Kidney disease,Suicide,Total,Heart disease %,Cancer %,Stroke %,CLRD %,Unintentional injuries %,Alzheimer's disease %,Diabetes %_x,Influenza and pneumonia %,Kidney disease %,Suicide %,Heart disease-AA,Cancer-AA,Stroke-AA,CLRD-AA,Unintentional injuries-AA,Alzheimer's disease-AA,Diabetes_y,Influenza and pneumonia-AA,Kidney disease-AA,Suicide-AA,Total-AA,Heart disease %-AA,Cancer %-AA,Stroke %-AA,CLRD %-AA,Unintentional injuries %-AA,Alzheimer's disease %-AA,Diabetes %_y,Influenza and pneumonia %-AA,Kidney disease %-AA,Suicide %-AA
854,Utah,2017,3749,3161,888,826,1238,991,596,334,384,663,12830.0,29.22057677318784,24.637568199532346,6.921278254091972,6.438035853468434,9.649259547934529,7.724084177708495,4.645362431800468,2.603273577552611,2.9929851909586906,5.167575993764614,150.2,120.3,36.2,32.1,44.2,42.1,22.9,13.3,15.4,22.7,499.4,30.076091309571485,24.08890668802563,7.248698438125752,6.427713255907089,8.850620744893874,8.430116139367241,4.585502603123748,2.6631958350020026,3.083700440528635,4.545454545454546
855,Vermont,1999,1342,1255,344,300,209,127,179,134,56,63,4009.0,33.47468196557745,31.30456472935894,8.58069343976054,7.483162883512098,5.213270142180095,3.167872287353455,4.464953853828885,3.3424794213020705,1.3968570715889248,1.5714642055375407,217.4,203.7,55.8,49.2,34.2,20.5,29.3,21.7,9.2,10.3,651.3000000000001,33.37939505604176,31.27590971902349,8.567480423767847,7.554122524182404,5.251036388760939,3.1475510517426684,4.498694917856594,3.3317979425763853,1.4125594963918315,1.5814524796560723
856,Vermont,2000,1438,1240,343,312,234,134,163,119,62,77,4122.0,34.885977680737504,30.082484230955846,8.321203299369238,7.5691411935953425,5.676855895196507,3.2508491023774866,3.954391072295002,2.8869480834546337,1.5041242115477924,1.8680252304706453,229.4,198.0,54.9,50.5,38.1,21.3,26.1,19.0,10.0,12.3,659.5999999999999,34.778653729533055,30.018192844147972,8.323226197695574,7.656155245603396,5.776228016979989,3.229229836264403,3.956943602183142,2.880533656761674,1.516070345664039,1.864766525166768
857,Vermont,2001,1429,1249,323,305,230,149,155,133,86,72,4131.0,34.592108448317596,30.234809973372062,7.818930041152264,7.38320019365771,5.567659162430404,3.6068748487049143,3.7521181312030985,3.2195594287097555,2.0818203824739774,1.7429193899782136,224.1,196.4,50.9,48.5,36.8,23.3,24.3,20.7,13.5,11.4,649.9,34.482228035082315,30.220033851361748,7.831974149869211,7.46268656716418,5.66240960147715,3.585166948761348,3.739036774888445,3.185105400830897,2.0772426527158028,1.7541160178488997
858,Vermont,2002,1370,1224,335,276,240,163,174,111,53,92,4038.0,33.92768697374938,30.312035661218424,8.29618623080733,6.8350668647845465,5.943536404160475,4.036651807825656,4.3090638930163445,2.74888558692422,1.3125309559187717,2.278355621594849,212.0,188.3,52.0,43.1,37.8,25.2,27.0,17.1,8.3,14.3,625.0999999999999,33.91457366821309,30.123180291153425,8.318669012957928,6.894896816509359,6.047032474804031,4.0313549832026885,4.319308910574309,2.735562310030396,1.3277875539913617,2.2876339785634303
859,Vermont,2003,1349,1210,306,301,235,171,183,116,53,83,4007.0,33.66608435238333,30.197154978787122,7.6366358871974045,7.511854255053656,5.864736710756176,4.267531819316197,4.567007736461193,2.8949338657349637,1.3226853007237334,2.0713750935862243,204.1,183.6,46.2,46.2,36.3,25.9,27.7,17.7,8.1,13.0,608.8000000000001,33.52496714848883,30.157687253613663,7.588699080157686,7.588699080157686,5.962549277266753,4.254270696452036,4.549934296977661,2.9073587385019706,1.3304862023653086,2.1353482260183965
860,Vermont,2004,1289,1212,302,296,253,173,150,86,57,93,3911.0,32.95832267962158,30.989516747634877,7.721810278701099,7.568396829455382,6.468933776527742,4.423421119918179,3.83533623114293,2.1989261058552803,1.4574277678343135,2.3779084633086165,192.3,179.5,45.0,45.0,39.4,25.9,22.6,12.7,8.5,14.5,585.4,32.84933378886232,30.662794670310902,7.6870515886573285,7.6870515886573285,6.730440724291083,4.424325247693885,3.8606081311923472,2.169456781687735,1.451998633413051,2.476938845234028
861,Vermont,2005,1234,1202,260,381,272,184,173,97,52,78,3933.0,31.375540300025428,30.56191202644292,6.61072972285787,9.687261632341723,6.91584032545131,4.678362573099415,4.398677854055428,2.466310704296974,1.3221459445715738,1.9832189168573606,180.5,175.9,38.2,57.1,42.1,27.1,25.8,14.4,7.7,12.5,581.3000000000001,31.051092379150173,30.25976260106657,6.571477722346465,9.822810940994323,7.24238775159126,4.661964562188198,4.438327885773266,2.4772062618269395,1.3246172372269052,2.1503526578358847
862,Vermont,2006,1244,1214,264,320,301,186,175,77,52,81,3914.0,31.783341849770057,31.016862544711294,6.745017884517118,8.175779253960142,7.69034236075626,4.7521716913643335,4.471129279509453,1.9672968829841593,1.3285641287685233,2.0694941236586613,177.2,172.6,38.1,46.5,45.8,26.5,25.0,10.9,7.4,12.2,562.1999999999999,31.51903237282106,30.700818214158666,6.776947705442904,8.271077908217716,8.146567057986482,4.713625044468161,4.446816079686944,1.9388118107435082,1.3162575595873356,2.170046246887229
863,Vermont,2007,1166,1346,269,316,303,205,170,70,54,89,3988.0,29.237713139418254,33.75125376128385,6.745235707121363,7.923771313941826,7.597793380140422,5.140421263791374,4.262788365095286,1.7552657973921766,1.354062186559679,2.231695085255767,162.4,188.6,38.0,45.0,44.9,28.7,24.4,9.9,7.6,13.9,563.4,28.824991125310618,33.47532836350728,6.744763933262337,7.987220447284344,7.969471068512603,5.0940717074902375,4.33084842030529,1.757188498402556,1.348952786652467,2.4671636492722757
864,Vermont,2008,1216,1279,281,341,306,218,151,74,39,94,3999.0,30.407601900475118,31.98299574893723,7.026756689172293,8.527131782945736,7.651912978244561,5.4513628407101775,3.7759439859964994,1.8504626156539135,0.9752438109527383,2.3505876469117277,166.2,176.3,38.3,47.6,44.5,29.8,21.1,10.2,5.4,14.1,553.5,30.02710027100271,31.851851851851855,6.919602529358626,8.59981933152665,8.039747064137307,5.383920505871726,3.812104787714544,1.8428184281842817,0.975609756097561,2.5474254742547426
865,Vermont,2009,1171,1254,221,364,308,190,143,52,49,87,3839.0,30.502735087262305,32.664756446991404,5.756707475905184,9.481635842667362,8.022922636103152,4.949205522271425,3.7249283667621778,1.3545194060953372,1.2763740557436831,2.2662151601979685,156.1,169.2,29.7,49.3,43.5,25.5,19.2,7.0,6.8,13.0,519.3,30.059695744271135,32.582322357019066,5.719237435008666,9.493549008280377,8.376660889659156,4.910456383593299,3.697284806470249,1.3479684190256116,1.3094550356248797,2.503369921047564
